video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=C-gdabZooKo&pp=ygUOZ2xvYmFsIHdhcm1pbmc%3D,/@ProfessorDaveExplains,Professor Dave Explains,Matt Ridley is Lying to You About Climate Change,314K,4 months,Go to https://consensus.app/ for a new way to search through primary scientific literature! It's finally time to tackle climate change ...,2026-01-21 08:45:00.387598
/watch?v=IJoAcD0oUww&pp=ygUOZ2xvYmFsIHdhcm1pbmc%3D,/@SmileandLearnEnglish,Smile and Learn - English,Climate Change - The environment for Kids (Updated Version),545K,5 years,"Educational video for children to learn what climate change is, what can we do to stop it and take better care of our planet.",2026-01-21 08:45:00.390462
/shorts/IZPt4WHwHCI,/@Amritadrawingbook,Amrita Drawing Book ,Global Warming Drawing Easy #amritadrawingbook #shorts #globalwarming,297K,2 years,Global Warming Drawing Easy #amritadrawingbook #shorts #globalwarming #drawing #howtodraw #easydrawing #poster ...,2026-01-21 08:45:00.392512
/watch?v=Mqzs5VSjObE&pp=ygUOZ2xvYmFsIHdhcm1pbmc%3D,/@StarTalk,StarTalk,The Link Between Milankovitch Cycles & Climate Change,830K,5 months,Go to https://ground.news/startalk to stay fully informed on the latest Space and Science news. Save 40% off through our link for ...,2026-01-21 08:45:00.395286
/watch?v=ECYMHIbBYyI&pp=ygUOZ2xvYmFsIHdhcm1pbmc%3D,/@pbsterra,PBS Terra,We Just Crossed Our FIRST Tipping Point… And It’s NOT What You Think,720K,2 months,Check out our Patreon: ...,2026-01-21 08:45:00.397127
/watch?v=OWXoRSIxyIU&pp=ygUOZ2xvYmFsIHdhcm1pbmc%3D,/@veritasium,Veritasium,13 Misconceptions About Global Warming,5.9M,11 years,Donate to the IPCC to prevent climate change → https://ve42.co/donateIPCC Common misconceptions about climate change.,2026-01-21 08:45:00.401185
/shorts/Ekw3nBuqbf0,/@NasDaily,Nas Daily,How I Touched Climate Change #486,4.5M,2 years,"I saw icebergs breaking and melting - with my own eyes! When you see it, you can finally believe it. This is it for Greenland. I hope ...",2026-01-21 08:45:00.402810
/watch?v=7kKd8MpEkVk&pp=ygUOZ2xvYmFsIHdhcm1pbmc%3D,/@memeabledata,Memeable Data,What 3 Degrees of Global Warming Looks Like,198K,4 months,"Thank you Odoo for sponsoring this video: https://www.odoo.com/r/jeV ABOUT THIS VIDEO: List of sources, music, 3D model ...",2026-01-21 08:45:00.404448
/watch?v=EtW2rrLHs08&pp=ygUOZ2xvYmFsIHdhcm1pbmc%3D,/@NatGeo,National Geographic,Climate Change 101 with Bill Nye | National Geographic,3.2M,10 years,"Climate Change is a real and serious issue. In this video Bill Nye, the Science Guy, explains what causes climate change, how it ...",2026-01-21 08:45:00.407418
/watch?v=KnjaQU8069A&pp=ygUOZ2xvYmFsIHdhcm1pbmc%3D,/@SimonClark,Simon Clark,The genius point Trump made about climate change,479K,3 months,A stopped clock is still right twice a day. Kinda? Get yourself a Nebula subscription: https://go.nebula.tv/simonclark My video with ...,2026-01-21 08:45:00.409053
/watch?v=xnQEFTv75xg&pp=ygUOZ2xvYmFsIHdhcm1pbmc%3D,/@get.factual,Get.factual,Antarctica’s Alarming Changes: New Discoveries & Climate Crisis | Full Documentary,245K,11 months,"This award-winning documentary reveals scientific revelations and threatening climate change effects, like penguin suicide, new ...",2026-01-21 08:45:00.411008
/watch?v=cn9PhiDJp-A&list=RDcn9PhiDJp-A&start_radio=1&pp=ygUOZ2xvYmFsIHdhcm1pbmegBwE%3D,/@Hopscotchsongs,Hopscotch,Climate Change Song,7.8M,4 years,A song that helps kids understand global warming and what we all need to do about it today. Subscribe!,2026-01-21 08:45:00.416087
/shorts/a8bhWauGlHU,/@_TinyTots,Tiny Tots,10 lines On Global Warming| Essay On Global Warming | #shorts #globalwarming,35K,7 months,10 lines On Global Warming| Essay On Global Warming | Global Warming Essay in English | Global Warming Essay writing ...,2026-01-21 08:45:00.417393
/watch?v=J1KGnCj_cfM&pp=ygUOZ2xvYmFsIHdhcm1pbmc%3D,/@SabineHossenfelder,Sabine Hossenfelder,How do we know climate change is caused by humans?,642K,1 year,Expand your scientific horizon on Brilliant! ➜ First 200 to use our link https://brilliant.org/sabine will get 20% off the annual ...,2026-01-21 08:45:00.420771
/watch?v=EhAemz1v7dQ&pp=ygUOZ2xvYmFsIHdhcm1pbmc%3D,/@kurzgesagt,Kurzgesagt – In a Nutshell,Do we Need Nuclear Energy to Stop Climate Change?,9.5M,4 years,Get Merch designed with ❤ from https://kgs.link/shop-140 Join the Patreon Bird Army https://kgs.link/patreon ▽▽ More infos ...,2026-01-21 08:45:00.423871
/shorts/MdpP_lymCyM,/@PlanetExpressTV-s1,Planet Express TV,"""The Crazy Plan to Fix Global Warming""",2.4M,4 months,Futurama #PhilipJFry #Leela #Bender #ProfessorFarnsworth #Zoidberg #AmyWong #HermesConrad #Nibbler #PlanetExpress ...,2026-01-21 08:45:00.425148
/shorts/I7ZpVhyHtLU,/@PKRnotes,PKR Notes for Students ,Global Warming / Solutions to prevent global warming /,5.7K,7 months,Solutions to prevent global warming / #globalwarming.,2026-01-21 08:45:00.428631
/watch?v=SN5-DnOHQmE&pp=ygUOZ2xvYmFsIHdhcm1pbmc%3D,/@NASASpacePlace,NASA Space Place,What Is the Greenhouse Effect?,3.2M,5 years,Earth is a comfortable place for living things. It's just the right temperatures for plants and animals – including humans – to thrive.,2026-01-21 08:45:10.681618
/shorts/GnMx7jn281E,/@nytimes,The New York Times,We’ve Breached a Key Limit for Global Warming. Now What?,10K,1 year,"Global temperatures last year crept past 1.5 degrees Celsius, a key marker for climate diplomacy, raising questions about how ...",2026-01-21 08:45:10.682951
/shorts/c2r7Igmpvns,/@Classmatelive,Classmate live,🌍 Global Warming Essay in English ✍️ | Easy & Short Paragraph for Students #shorts,51K,7 months,Learn how to write a short and simple essay on Global Warming in neat handwriting. Perfect for school students and handwriting ...,2026-01-21 08:45:10.685782
/shorts/TVJ_5gUcrwU,/@GeoGlobeTales,GeoGlobeTales,If All the Ice on Earth Melts 🧊 Global Flood Map 🌍,6.4M,8 months,#whatif #meltingice #climatechange #globalwarming #sealevel #earthwarming #climate #glaciermelt #antarctica #greenland ...,2026-01-21 08:45:10.687385
/shorts/bbtVP9SkyZE,/@nakulsahuart,Nakul Sahu Art,Global Warming Project | Main Causes of Global Warming Explained with working Model | #shortsfeed,117K,6 months,"🌍 Global Warming Science Project Nakul sahu art

In this video, I showcase my school science project on Global Warming. The ...",2026-01-21 08:45:10.688699
/shorts/laphFdXr9aY,/@ThinkCreativeMakeCreative,Think Creative Make Creative,How to Make Global Warming Model For School Projects Step by Step #diy #craft,160K,2 years,"Hello friends, here I show you How to Make Global Warming model. Please see carefully and make it easily. It will help the ...",2026-01-21 08:45:10.692215
/watch?v=7hu6vDP2a4Q&pp=ygUOZ2xvYmFsIHdhcm1pbmc%3D,/@Freesciencelessons,Freesciencelessons,"GCSE Biology Revision ""Global Warming""",210K,7 years,Learn smarter with PLUS. Try for free: https://www.freesciencelessons.co.uk/modules/gcse-biology-1-triple/ If you're a teacher and ...,2026-01-21 08:45:10.694094
/watch?v=nBBKSpLUQcg&pp=ygUOZ2xvYmFsIHdhcm1pbmc%3D,/@NHKWORLDJAPAN,NHK WORLD-JAPAN,"Asia's ""Double Global Warming"" - IMPACTS: Climates Change the World",18K,2 months,Learn more about climate change on NHK WORLD-JAPAN: ...,2026-01-21 08:45:10.695248
/shorts/PJ0FfmuCQPo,/@KajuClasses,Kaju Classes,Global Warming essay in english/10 lines on Global Warming/Few lines about Global Warming,69K,8 months,Global Warming essay in english/10 lines on Global Warming/Few lines about Global Warming Your queries: 10 Lines Essay on ...,2026-01-21 08:45:10.697016
/watch?v=TkRmrPQDPFw&t=388s&pp=ygUOZ2xvYmFsIHdhcm1pbmc%3D,/@BBCWorldService,BBC World Service,Why the world's superpowers are racing to control the Arctic - BBC World Service,2M,3 months,04:29 Russia and China's partnership 06:28 How climate change is affecting shipping routes 07:47 What resources are there in ...,2026-01-21 08:45:10.700437
/shorts/I-fJGMRpNEA,/@WeatherWest,Weather West,"Why 1.5°C is a ""geologically significant"" level of global warming",3.2K,1 year,Climate scientist Daniel Swain ( @WeatherWest ) discusses why 1.5°C of #globalwarming is so immensely consequential for ...,2026-01-21 08:45:10.701908
/watch?v=oYhCQv5tNsQ&pp=ygUOZ2xvYmFsIHdhcm1pbmc%3D,/@WisdomLand,Wisdom Land,The Great Global Warming Swindle - Full Documentary HD,1.4M,7 years,"The Great Global Warming Swindle caused controversy in the UK when it premiered March 8, 2007 on British Channel 4.",2026-01-21 08:45:10.703015
/watch?v=ezci9Sv1GzQ&pp=ygUOZ2xvYmFsIHdhcm1pbmc%3D,/@Factsforkids,Hey! Guess What,What is GLOBAL WARMING?  Facts for Kids,87K,2 years,"What is GLOBAL WARMING? Facts for Kids In this video, we're going to learn about global warming, and discover why it's such an ...",2026-01-21 08:45:10.705242
/shorts/Tj3Reukh_7s,/@im_siowei,im_siowei,How To Stop Global Warming,2.5M,2 years,YAEY.,2026-01-21 08:45:10.706471
/shorts/4tuMSDCYSas,/@Kansalcreation,Kansal Creation,Global warming school project/Model of Global warming #globalwarming #viralshort,25K,6 months,viralshort #Globalwarmingschoolproject #schoolprojectforexhibition.,2026-01-21 08:45:10.709750
/watch?v=57x_SWsv6QU&pp=ygUOZ2xvYmFsIHdhcm1pbmc%3D,/@FrancisCrickInstitute,The Francis Crick Institute,Will We Survive Climate Change? – A Question of Science with Brian Cox,109K,3 months,Professor Brian Cox and a panel of experts discuss how to curb rising global temperatures and what life could be like in a warmer ...,2026-01-21 08:45:10.711415
/watch?v=5UsKzOkOn-c&pp=ygUOZ2xvYmFsIHdhcm1pbmfSBwkJhwoBhyohjO8%3D,/@SabineHossenfelder,Sabine Hossenfelder,"“Termination Shock” Could Explain Recent Global Warming, Some Climate Scientists Think",255K,3 months,Want to restore the planet's ecosystems and see your impact in monthly videos? The first 100 people to join Planet Wild with my ...,2026-01-21 08:45:10.713153
/watch?v=fsah3Z2pC6Q&pp=ygUOZ2xvYmFsIHdhcm1pbmc%3D,/@SimonClark,Simon Clark,2025: climate tipping point or turning point?,94K,2 weeks,Start 2026 with a daily learning habit using my link https://www.brilliant.org/simonclark for a FREE 30 DAY TRIAL and a 20% ...,2026-01-21 08:45:10.714482
